Datum,Uhrzeit,ADC,Rs_Ohm,PPM_CO2
2026-03-26,09:55:16,59,6535.6,466.58
2026-03-26,09:55:18,59,6535.6,466.58
2026-03-26,09:55:20,58,6655.2,443.73
2026-03-26,09:55:22,58,6655.2,443.73
2026-03-26,09:55:24,58,6655.2,443.73
2026-03-26,09:55:26,59,6535.6,466.58
2026-03-26,09:55:28,58,6655.2,443.73
2026-03-26,09:55:30,59,6535.6,466.58
2026-03-26,09:55:33,59,6535.6,466.58
2026-03-26,09:55:35,59,6535.6,466.58
2026-03-26,09:55:37,59,6535.6,466.58
2026-03-26,09:55:39,59,6535.6,466.58
2026-03-26,09:55:41,59,6535.6,466.58
2026-03-26,09:55:43,59,6535.6,466.58
2026-03-26,09:55:45,59,6535.6,466.58
2026-03-26,09:55:47,59,6535.6,466.58
2026-03-26,09:55:49,59,6535.6,466.58
2026-03-26,09:55:51,59,6535.6,466.58
2026-03-26,09:55:53,59,6535.6,466.58
2026-03-26,09:55:55,59,6535.6,466.58
2026-03-26,09:55:57,59,6535.6,466.58
2026-03-26,09:55:59,59,6535.6,466.58
2026-03-26,09:56:01,60,6420.0,490.22
2026-03-26,09:56:03,60,6420.0,490.22
2026-03-26,09:56:05,61,6308.2,514.65
2026-03-26,09:56:07,60,6420.0,490.22
2026-03-26,09:56:09,60,6420.0,490.22
2026-03-26,09:56:11,60,6420.0,490.22
2026-03-26,09:56:13,60,6420.0,490.22
2026-03-26,09:56:15,60,6420.0,490.22
2026-03-26,09:56:17,60,6420.0,490.22
2026-03-26,09:56:19,60,6420.0,490.22
2026-03-26,09:56:21,60,6420.0,490.22
2026-03-26,09:56:23,60,6420.0,490.22
2026-03-26,09:56:25,59,6535.6,466.58
2026-03-26,09:56:27,60,6420.0,490.22
2026-03-26,09:56:29,60,6420.0,490.22
2026-03-26,09:56:31,60,6420.0,490.22
2026-03-26,09:56:33,60,6420.0,490.22
2026-03-26,09:56:35,60,6420.0,490.22
2026-03-26,09:56:37,60,6420.0,490.22
2026-03-26,09:56:39,60,6420.0,490.22
2026-03-26,09:56:41,61,6308.2,514.65
2026-03-26,09:56:43,60,6420.0,490.22
2026-03-26,09:56:45,61,6308.2,514.65
2026-03-26,09:56:47,61,6308.2,514.65
2026-03-26,09:56:49,60,6420.0,490.22
2026-03-26,09:56:51,61,6308.2,514.65
2026-03-26,09:56:53,61,6308.2,514.65
2026-03-26,09:56:55,61,6308.2,514.65
2026-03-26,09:56:57,61,6308.2,514.65
2026-03-26,09:56:59,61,6308.2,514.65
2026-03-26,09:57:01,61,6308.2,514.65
2026-03-26,09:57:03,61,6308.2,514.65
2026-03-26,09:57:05,61,6308.2,514.65
2026-03-26,09:57:07,61,6308.2,514.65
2026-03-26,09:57:09,61,6308.2,514.65
2026-03-26,09:57:11,61,6308.2,514.65
2026-03-26,09:57:13,61,6308.2,514.65
2026-03-26,09:57:15,61,6308.2,514.65
2026-03-26,09:57:17,61,6308.2,514.65
2026-03-26,09:57:19,61,6308.2,514.65
2026-03-26,09:57:21,61,6308.2,514.65
2026-03-26,09:57:23,61,6308.2,514.65
2026-03-26,09:57:25,60,6420.0,490.22
2026-03-26,09:57:27,61,6308.2,514.65
2026-03-26,09:57:29,61,6308.2,514.65
2026-03-26,09:57:31,61,6308.2,514.65
2026-03-26,09:57:33,61,6308.2,514.65
2026-03-26,09:57:35,61,6308.2,514.65
2026-03-26,09:57:37,61,6308.2,514.65
2026-03-26,09:57:39,61,6308.2,514.65
2026-03-26,09:57:41,61,6308.2,514.65
2026-03-26,09:57:43,61,6308.2,514.65
2026-03-26,09:57:45,61,6308.2,514.65
2026-03-26,09:57:47,61,6308.2,514.65
2026-03-26,09:57:49,62,6200.0,539.91
2026-03-26,09:57:51,61,6308.2,514.65
2026-03-26,09:57:53,61,6308.2,514.65
2026-03-26,09:57:55,61,6308.2,514.65
2026-03-26,09:57:57,61,6308.2,514.65
2026-03-26,09:57:59,61,6308.2,514.65
2026-03-26,09:58:01,60,6420.0,490.22
2026-03-26,09:58:03,61,6308.2,514.65
2026-03-26,09:58:05,61,6308.2,514.65
2026-03-26,09:58:07,61,6308.2,514.65
2026-03-26,09:58:09,61,6308.2,514.65
2026-03-26,09:58:11,62,6200.0,539.91
2026-03-26,09:58:13,61,6308.2,514.65
2026-03-26,09:58:15,62,6200.0,539.91
2026-03-26,09:58:17,62,6200.0,539.91
2026-03-26,09:58:19,62,6200.0,539.91
2026-03-26,09:58:21,61,6308.2,514.65
2026-03-26,09:58:23,62,6200.0,539.91
2026-03-26,09:58:25,61,6308.2,514.65
2026-03-26,09:58:27,61,6308.2,514.65
2026-03-26,09:58:29,61,6308.2,514.65
2026-03-26,09:58:31,61,6308.2,514.65
2026-03-26,09:58:33,61,6308.2,514.65
2026-03-26,09:58:35,61,6308.2,514.65
2026-03-26,09:58:37,61,6308.2,514.65
2026-03-26,09:58:39,61,6308.2,514.65
2026-03-26,09:58:41,61,6308.2,514.65
2026-03-26,09:58:43,61,6308.2,514.65
2026-03-26,09:58:45,61,6308.2,514.65
2026-03-26,09:58:47,61,6308.2,514.65
2026-03-26,09:58:49,62,6200.0,539.91
2026-03-26,09:58:51,62,6200.0,539.91
2026-03-26,09:58:53,61,6308.2,514.65
2026-03-26,09:58:55,61,6308.2,514.65
2026-03-26,09:58:57,61,6308.2,514.65
2026-03-26,09:58:59,61,6308.2,514.65
2026-03-26,09:59:01,62,6200.0,539.91
2026-03-26,09:59:03,61,6308.2,514.65
2026-03-26,09:59:05,61,6308.2,514.65
2026-03-26,09:59:07,61,6308.2,514.65
2026-03-26,09:59:09,61,6308.2,514.65
2026-03-26,09:59:11,61,6308.2,514.65
2026-03-26,09:59:13,61,6308.2,514.65
2026-03-26,09:59:15,60,6420.0,490.22
2026-03-26,09:59:17,61,6308.2,514.65
2026-03-26,09:59:19,61,6308.2,514.65
2026-03-26,09:59:21,61,6308.2,514.65
2026-03-26,09:59:23,61,6308.2,514.65
2026-03-26,09:59:25,61,6308.2,514.65
2026-03-26,09:59:27,61,6308.2,514.65
2026-03-26,09:59:29,61,6308.2,514.65
2026-03-26,09:59:31,59,6535.6,466.58
2026-03-26,09:59:33,61,6308.2,514.65
2026-03-26,09:59:35,61,6308.2,514.65
2026-03-26,09:59:37,61,6308.2,514.65
2026-03-26,09:59:39,61,6308.2,514.65
2026-03-26,09:59:41,61,6308.2,514.65
2026-03-26,09:59:43,61,6308.2,514.65
2026-03-26,09:59:45,62,6200.0,539.91
2026-03-26,09:59:47,63,6095.2,566.0
2026-03-26,09:59:49,64,5993.8,592.93
2026-03-26,09:59:51,65,5895.4,620.73
2026-03-26,09:59:53,66,5800.0,649.41
2026-03-26,09:59:55,66,5800.0,649.41
2026-03-26,09:59:57,65,5895.4,620.73
2026-03-26,09:59:59,64,5993.8,592.93
2026-03-26,10:00:01,64,5993.8,592.93
2026-03-26,10:00:03,64,5993.8,592.93
2026-03-26,10:00:05,63,6095.2,566.0
2026-03-26,10:00:07,63,6095.2,566.0
2026-03-26,10:00:09,63,6095.2,566.0
2026-03-26,10:00:11,63,6095.2,566.0
2026-03-26,10:00:13,63,6095.2,566.0
2026-03-26,10:00:15,63,6095.2,566.0
2026-03-26,10:00:17,63,6095.2,566.0
2026-03-26,10:00:19,63,6095.2,566.0
2026-03-26,10:00:21,62,6200.0,539.91
2026-03-26,10:00:23,63,6095.2,566.0
2026-03-26,10:00:25,63,6095.2,566.0
2026-03-26,10:00:27,62,6200.0,539.91
2026-03-26,10:00:29,62,6200.0,539.91
2026-03-26,10:00:31,62,6200.0,539.91
2026-03-26,10:00:33,62,6200.0,539.91
2026-03-26,10:00:35,62,6200.0,539.91
2026-03-26,10:00:37,62,6200.0,539.91
2026-03-26,10:00:39,62,6200.0,539.91
2026-03-26,10:00:41,62,6200.0,539.91
2026-03-26,10:00:43,62,6200.0,539.91
2026-03-26,10:00:45,62,6200.0,539.91
2026-03-26,10:00:47,62,6200.0,539.91
2026-03-26,10:00:49,62,6200.0,539.91
2026-03-26,10:00:51,62,6200.0,539.91
2026-03-26,10:00:53,62,6200.0,539.91
2026-03-26,10:00:55,62,6200.0,539.91
2026-03-26,10:00:57,62,6200.0,539.91
2026-03-26,10:00:59,61,6308.2,514.65
2026-03-26,10:01:01,62,6200.0,539.91
2026-03-26,10:01:03,62,6200.0,539.91
2026-03-26,10:01:05,62,6200.0,539.91
2026-03-26,10:01:07,62,6200.0,539.91
2026-03-26,10:01:09,62,6200.0,539.91
2026-03-26,10:01:11,62,6200.0,539.91
2026-03-26,10:01:13,62,6200.0,539.91
2026-03-26,10:01:15,62,6200.0,539.91
2026-03-26,10:01:17,63,6095.2,566.0
2026-03-26,10:01:19,63,6095.2,566.0
2026-03-26,10:01:21,64,5993.8,592.93
2026-03-26,10:01:23,65,5895.4,620.73
2026-03-26,10:01:25,66,5800.0,649.41
2026-03-26,10:01:27,66,5800.0,649.41
2026-03-26,10:01:29,66,5800.0,649.41
2026-03-26,10:01:31,66,5800.0,649.41
2026-03-26,10:01:33,65,5895.4,620.73
2026-03-26,10:01:35,67,5707.5,678.99
2026-03-26,10:01:37,67,5707.5,678.99
2026-03-26,10:01:39,68,5617.6,709.48
2026-03-26,10:01:41,68,5617.6,709.48
2026-03-26,10:01:43,68,5617.6,709.48
2026-03-26,10:01:45,68,5617.6,709.48
2026-03-26,10:01:47,68,5617.6,709.48
2026-03-26,10:01:49,68,5617.6,709.48
2026-03-26,10:01:51,68,5617.6,709.48
2026-03-26,10:01:53,67,5707.5,678.99
2026-03-26,10:01:55,67,5707.5,678.99
2026-03-26,10:01:57,66,5800.0,649.41
2026-03-26,10:01:59,65,5895.4,620.73
2026-03-26,10:02:01,66,5800.0,649.41
2026-03-26,10:02:03,66,5800.0,649.41
2026-03-26,10:02:05,67,5707.5,678.99
2026-03-26,10:02:07,67,5707.5,678.99
2026-03-26,10:02:09,67,5707.5,678.99
2026-03-26,10:02:11,66,5800.0,649.41
2026-03-26,10:02:13,66,5800.0,649.41
2026-03-26,10:02:16,66,5800.0,649.41
2026-03-26,10:02:18,65,5895.4,620.73
2026-03-26,10:02:20,65,5895.4,620.73
2026-03-26,10:02:22,65,5895.4,620.73
2026-03-26,10:02:24,65,5895.4,620.73
2026-03-26,10:02:26,65,5895.4,620.73
2026-03-26,10:02:28,65,5895.4,620.73
2026-03-26,10:02:30,65,5895.4,620.73
2026-03-26,10:02:32,64,5993.8,592.93
2026-03-26,10:02:34,64,5993.8,592.93
2026-03-26,10:02:36,64,5993.8,592.93
2026-03-26,10:02:38,64,5993.8,592.93
2026-03-26,10:02:40,64,5993.8,592.93
2026-03-26,10:02:42,65,5895.4,620.73
2026-03-26,10:02:44,64,5993.8,592.93
2026-03-26,10:02:46,63,6095.2,566.0
2026-03-26,10:02:48,64,5993.8,592.93
2026-03-26,10:02:50,64,5993.8,592.93
2026-03-26,10:02:52,64,5993.8,592.93
2026-03-26,10:02:54,64,5993.8,592.93
2026-03-26,10:02:56,64,5993.8,592.93
2026-03-26,10:02:58,65,5895.4,620.73
2026-03-26,10:03:00,65,5895.4,620.73
2026-03-26,10:03:02,64,5993.8,592.93
2026-03-26,10:03:04,64,5993.8,592.93
2026-03-26,10:03:06,64,5993.8,592.93
2026-03-26,10:03:08,64,5993.8,592.93
2026-03-26,10:03:10,64,5993.8,592.93
2026-03-26,10:03:12,64,5993.8,592.93
2026-03-26,10:03:14,64,5993.8,592.93
2026-03-26,10:03:16,64,5993.8,592.93
2026-03-26,10:03:18,64,5993.8,592.93
2026-03-26,10:03:20,64,5993.8,592.93
2026-03-26,10:03:22,64,5993.8,592.93
2026-03-26,10:03:24,64,5993.8,592.93
2026-03-26,10:03:26,64,5993.8,592.93
2026-03-26,10:03:28,64,5993.8,592.93
2026-03-26,10:03:30,64,5993.8,592.93
2026-03-26,10:03:32,65,5895.4,620.73
2026-03-26,10:03:34,65,5895.4,620.73
2026-03-26,10:03:36,65,5895.4,620.73
2026-03-26,10:03:38,65,5895.4,620.73
2026-03-26,10:03:40,64,5993.8,592.93
2026-03-26,10:03:42,64,5993.8,592.93
2026-03-26,10:03:44,64,5993.8,592.93
2026-03-26,10:03:46,64,5993.8,592.93
2026-03-26,10:03:48,64,5993.8,592.93
2026-03-26,10:03:50,64,5993.8,592.93
2026-03-26,10:03:52,64,5993.8,592.93
2026-03-26,10:03:54,63,6095.2,566.0
